trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S01_1_1,S01,1,1,Q,filler,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_1_12_Q_filler_6_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:28:20.028,1767835700.0284915,0.0,0,0,,,Q,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_2,S01,1,2,7,match,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,,,,,,,M_1_2_7_match_7_day_sun_busy_ORIG.jpg,Match,2026-01-08T10:28:25.128,1767835705.1286795,5.10018801689148,306,612,2026-01-08T10:28:26.457,1.3283531665802002,7,7,t,1,Hit,正解(一致),True,False,,612.0,911.0,0.0,672.0,734.0,7.394207377940121,7.394207377940121,662.0,671.0,794.0,803.0,2.8762,2.6691000000000003,2.77265,3.7894000000000005,3.4052,3.5972999999999997,3.771,3.363,3.5775,-0.3175022599262919,-0.27578584541605766,-0.29742304293726207,-0.31110493011612544,-0.25997527256378544,-0.29028186031413994
S01_1_3,S01,1,3,U,filler,0,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\0_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_1_30_U_filler_0_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T10:28:30.228,1767835710.2284672,10.199975728988647,612,1224,,,U,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_4,S01,1,4,C,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_1_26_C_filler_8_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:28:35.326,1767835715.3269684,15.298476934432983,918,1836,,,C,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_5,S01,1,5,9,match,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_1_41_9_match_9_day_rain_empty_ORIG.jpg,Match,2026-01-08T10:28:40.428,1767835720.4284277,20.399936199188232,1224,2448,2026-01-08T10:28:42.034,1.6065447330474854,9,9,t,1,Hit,正解(一致),True,False,,2448.0,2747.0,0.0,2524.0,2558.0,5.9391592526162,5.9391592526162,2514.0,2523.0,2618.0,2627.0,4.0411,3.5672999999999995,3.8041999999999994,4.027,3.63,3.8284999999999996,3.974,3.565,3.779,0.003489148994085769,-0.01757631822386691,-0.006387676778297728,0.01660438989384077,0.0006447453255962563,0.006624257399715959
S01_1_6,S01,1,6,L,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_1_34_L_filler_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T10:28:45.537,1767835725.5371356,25.508644104003903,1531,3061,,,L,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_7,S01,1,7,Q,filler,8,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\8_day_rain_busy.jpg,,,,,,,M_1_48_Q_filler_8_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T10:28:50.648,1767835730.6484125,30.6199209690094,1837,3674,,,Q,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_8,S01,1,8,3,match,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_1_31_3_match_3_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-08T10:28:55.750,1767835735.7503564,35.72186493873596,2143,4287,2026-01-08T10:28:56.948,1.198333978652954,3,3,t,1,Hit,正解(一致),True,False,,4287.0,4586.0,0.0,4336.0,4349.0,9.972177624427847,9.972177624427847,4326.0,4335.0,4409.0,4418.0,3.7372,3.3562000000000003,3.5467000000000004,3.4101,3.1540999999999997,3.2821,3.36,3.052,3.24,0.08752542010061012,0.06021691198379137,0.07460456198719953,0.10093117842234833,0.0906382217984626,0.08647475117715063
S01_1_9,S01,1,9,F,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\1_day_sun_empty.jpg,brightness,40.55,,,,,M_1_28_F_filler_1_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T10:29:00.865,1767835740.8659718,40.837480306625366,2450,4900,,,F,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_10,S01,1,10,B,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_1_15_B_filler_3_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T10:29:05.989,1767835745.989761,45.96126961708069,2758,5515,,,B,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
